State,ScAlabamaeBArkansas,text,yeArkansas,month
Alaska,-1,Alaska: -1.0,2018,1
Alabama,0.333333333,Alabama: 0.3,2018,1
Arkansas,-0.5,Arkansas: -0.5,2018,1
Arizona,-1.676470588,Arizona: -1.7,2018,1
California,-0.909090909,CA: -0.9,2018,1
CAN,-0.55,CAN: -0.6,2018,1
Colorado,-1.962962963,CO: -2.0,2018,1
Connecticut,0.125,CT: 0.1,2018,1
Delaware,-0.333333333,DE: -0.3,2018,1
Florida,-1.302631579,FL: -1.3,2018,1
Georgia,-0.5,GA: -0.5,2018,1
Iowa,-0.25,IA: -0.2,2018,1
Idaho,-0.875,ID: -0.9,2018,1
Illinois,-0.473684211,IL: -0.5,2018,1
Indiana,0.176470588,IN: 0.2,2018,1
Kansas,-1.935483871,KS: -1.9,2018,1
Kentucky,-0.2,KY: -0.2,2018,1
Louisiana,-0.2,LA: -0.2,2018,1
Massachusetts,-0.111111111,MA: -0.1,2018,1
Maryland,-1.25,MD: -1.2,2018,1
Maine,0.090909091,ME: 0.1,2018,1
Michigan,0,MI: 0.0,2018,1
Minnesota,-1.333333333,MN: -1.3,2018,1
Missouri,-1.222222222,MO: -1.2,2018,1
Mississippi,1.4,MS: 1.4,2018,1
Montana,1,MT: 1.0,2018,1
North Carolina,-0.393939394,NC: -0.4,2018,1
North Dakota,-0.6,ND: -0.6,2018,1
Nebraska,-1.666666667,NE: -1.7,2018,1
New Hampshire,0.75,NH: 0.8,2018,1
New Jersey,-0.857142857,NJ: -0.9,2018,1
New Mexico,-2.159090909,NM: -2.2,2018,1
Nevada,3,NV: 3.0,2018,1
New York,0.4,NY: 0.4,2018,1
Ohio,0.555555556,OH: 0.6,2018,1
Oklahoma,-1.5,OK: -1.5,2018,1
Oregon,-0.051282051,OR: -0.1,2018,1
Pennsylvania,0.583333333,PA: 0.6,2018,1
Rhode Island,2,RI: 2.0,2018,1
South Carolina,-0.2,SC: -0.2,2018,1
South Dakota,-1.5,SD: -1.5,2018,1
Tennessee,0.8,TN: 0.8,2018,1
Texas,-0.9625,TX: -1.0,2018,1
Utah,-0.5,UT: -0.5,2018,1
Virginia,-0.888888889,VA: -0.9,2018,1
Vermont,0,VT: 0.0,2018,1
Washington,1.03125,WA: 1.0,2018,1
Wisconsin,-0.583333333,WI: -0.6,2018,1
West Virginia,1,WV: 1.0,2018,1
Wyoming,0.111111111,WY: 0.1,2018,1
Alabama,1.333333333,Alabama: 1.3,2018,2
Arkansas,-1.111111111,Arkansas: -1.1,2018,2
Arizona,-1.896551724,Arizona: -1.9,2018,2
BHS,-3,BHS: -3.0,2018,2
California,-1.194444444,CA: -1.2,2018,2
CAN,0.042553191,CAN: 0.0,2018,2
Colorado,-1.484848485,CO: -1.5,2018,2
Connecticut,1.066666667,CT: 1.1,2018,2
Delaware,0.8,DE: 0.8,2018,2
Florida,-0.916666667,FL: -0.9,2018,2
Georgia,-0.047619048,GA: -0.0,2018,2
Iowa,-0.333333333,IA: -0.3,2018,2
Idaho,-0.142857143,ID: -0.1,2018,2
Illinois,0.12,IL: 0.1,2018,2
Indiana,1.192307692,IN: 1.2,2018,2
Kansas,-1.583333333,KS: -1.6,2018,2
Kentucky,1.846153846,KY: 1.8,2018,2
Louisiana,0.6,LA: 0.6,2018,2
Massachusetts,0.642857143,MA: 0.6,2018,2
Maryland,0.555555556,MD: 0.6,2018,2
Maine,0.388888889,ME: 0.4,2018,2
Michigan,1.043478261,MI: 1.0,2018,2
Minnesota,-0.730769231,MN: -0.7,2018,2
Missouri,-0.571428571,MO: -0.6,2018,2
Mississippi,2.434782609,MS: 2.4,2018,2
Montana,1.153846154,MT: 1.2,2018,2
North Carolina,0.405172414,NC: 0.4,2018,2
North Dakota,-1.2,ND: -1.2,2018,2
Nebraska,-1,NE: -1.0,2018,2
New Hampshire,0.666666667,NH: 0.7,2018,2
