County,county_fips,City,StateCode,State,StationID,ConditionMonitoringReportID,ReportDate,ScaleBar,year,quarter,month,month_name,week,day
Larimer,8069,Fort Collins,8,CO,4a9d3b19-e6a1-4788-9c5c-3ab8732fd50f,43361,1/6/2019,-2,2019,1,1,Jan,1,6
Larimer,8069,Fort Collins,8,CO,4a9d3b19-e6a1-4788-9c5c-3ab8732fd50f,43569,1/13/2019,-1,2019,1,1,Jan,2,13
Larimer,8069,Fort Collins,8,CO,4a9d3b19-e6a1-4788-9c5c-3ab8732fd50f,44002,1/27/2019,-1,2019,1,1,Jan,4,27
Larimer,8069,Fort Collins,8,CO,aa6475c2-8a4b-4c4b-877c-c35733eb7b9b,43457,1/10/2019,-2,2019,1,1,Jan,2,10
Douglas,8035,Highlands Ranch,8,CO,443f7ab4-a2ba-4b32-9ae1-7f09c72a5531,43277,1/5/2019,-2,2019,1,1,Jan,1,5
Douglas,8035,Highlands Ranch,8,CO,443f7ab4-a2ba-4b32-9ae1-7f09c72a5531,43707,1/19/2019,0,2019,1,1,Jan,3,19
Douglas,8035,Highlands Ranch,8,CO,443f7ab4-a2ba-4b32-9ae1-7f09c72a5531,43977,1/27/2019,-1,2019,1,1,Jan,4,27
Grand,8049,Parshall,8,CO,c83fc76c-86d4-40a2-89d8-45a4c95232c0,43301,1/5/2019,-2,2019,1,1,Jan,1,5
Grand,8049,Parshall,8,CO,c83fc76c-86d4-40a2-89d8-45a4c95232c0,43507,1/12/2019,-2,2019,1,1,Jan,2,12
Grand,8049,Parshall,8,CO,c83fc76c-86d4-40a2-89d8-45a4c95232c0,43708,1/19/2019,0,2019,1,1,Jan,3,19
Grand,8049,Parshall,8,CO,c83fc76c-86d4-40a2-89d8-45a4c95232c0,43915,1/26/2019,0,2019,1,1,Jan,4,26
Weld,8123,Greeley,8,CO,743652db-2d6f-4d32-a90f-2b81176203ae,43346,1/6/2019,-3,2019,1,1,Jan,1,6
Weld,8123,Greeley,8,CO,743652db-2d6f-4d32-a90f-2b81176203ae,43559,1/13/2019,-3,2019,1,1,Jan,2,13
Weld,8123,Greeley,8,CO,743652db-2d6f-4d32-a90f-2b81176203ae,43750,1/20/2019,-3,2019,1,1,Jan,3,20
Weld,8123,Greeley,8,CO,743652db-2d6f-4d32-a90f-2b81176203ae,43966,1/27/2019,-2,2019,1,1,Jan,4,27
Crowley,8025,Ordway,8,CO,d1318b12-3d48-440d-8a25-d82fe3318493,43424,1/7/2019,-2,2019,1,1,Jan,2,7
Crowley,8025,Ordway,8,CO,d1318b12-3d48-440d-8a25-d82fe3318493,43626,1/14/2019,-2,2019,1,1,Jan,3,14
Crowley,8025,Ordway,8,CO,d1318b12-3d48-440d-8a25-d82fe3318493,43846,1/22/2019,-2,2019,1,1,Jan,4,22
Crowley,8025,Ordway,8,CO,d1318b12-3d48-440d-8a25-d82fe3318493,44060,1/28/2019,-1,2019,1,1,Jan,5,28
Larimer,8069,Fort Collins,8,CO,c512a3a7-6713-4785-81b2-daca59977b8d,43446,1/9/2019,-2,2019,1,1,Jan,2,9
Elbert,8039,Elbert,8,CO,ab40f47f-adb9-41dc-8052-14e3289a61bd,43364,1/6/2019,-2,2019,1,1,Jan,1,6
Elbert,8039,Elbert,8,CO,ab40f47f-adb9-41dc-8052-14e3289a61bd,43769,1/20/2019,-1,2019,1,1,Jan,3,20
Weld,8123,Kersey,8,CO,7bfade50-5dce-4274-8680-032e402fcc82,43288,1/5/2019,-1,2019,1,1,Jan,1,5
Weld,8123,Kersey,8,CO,7bfade50-5dce-4274-8680-032e402fcc82,43508,1/12/2019,0,2019,1,1,Jan,2,12
Weld,8123,Kersey,8,CO,7bfade50-5dce-4274-8680-032e402fcc82,43781,1/20/2019,-1,2019,1,1,Jan,3,20
Weld,8123,Kersey,8,CO,7bfade50-5dce-4274-8680-032e402fcc82,44007,1/27/2019,0,2019,1,1,Jan,4,27
Arapahoe,8005,Watkins,8,CO,988b27da-92ec-4504-bc28-bd1b388a33e2,43830,1/21/2019,-3,2019,1,1,Jan,4,21
Saguache,8109,Villa Grove,8,CO,ef47879d-a35a-41b4-af24-a7dec7c523c0,43195,1/1/2019,-2,2019,1,1,Jan,1,1
Huerfano,8055,Walsenburg,8,CO,535d06dd-bc1a-4d35-a546-7314fbf3faed,44089,1/30/2019,-2,2019,1,1,Jan,5,30
Gunnison,8051,Pitkin,8,CO,401e0943-eceb-420d-bfff-09e96efc042b,43419,1/7/2019,-3,2019,1,1,Jan,2,7
Gunnison,8051,Pitkin,8,CO,401e0943-eceb-420d-bfff-09e96efc042b,43637,1/14/2019,-3,2019,1,1,Jan,3,14
Gunnison,8051,Pitkin,8,CO,401e0943-eceb-420d-bfff-09e96efc042b,43825,1/21/2019,-1,2019,1,1,Jan,4,21
Gunnison,8051,Pitkin,8,CO,401e0943-eceb-420d-bfff-09e96efc042b,44061,1/28/2019,-2,2019,1,1,Jan,5,28
Larimer,8069,Fort Collins,8,CO,0c7ec328-9ab1-49bf-8d59-0cf289d22f32,43458,1/7/2019,-2,2019,1,1,Jan,2,7
Larimer,8069,Fort Collins,8,CO,0c7ec328-9ab1-49bf-8d59-0cf289d22f32,43630,1/14/2019,-1,2019,1,1,Jan,3,14
Larimer,8069,Fort Collins,8,CO,0c7ec328-9ab1-49bf-8d59-0cf289d22f32,43845,1/21/2019,-1,2019,1,1,Jan,4,21
Larimer,8069,Fort Collins,8,CO,0c7ec328-9ab1-49bf-8d59-0cf289d22f32,44298,1/28/2019,-1,2019,1,1,Jan,5,28
La Plata,8067,Bayfield,8,CO,f31cfb52-c5d6-4c76-abb2-c7b218ecde77,44030,1/27/2019,0,2019,1,1,Jan,4,27
La Plata,8067,Bayfield,8,CO,c51996a3-f36f-483b-bed4-3eb5ebb5161c,43211,1/2/2019,-2,2019,1,1,Jan,1,2
La Plata,8067,Bayfield,8,CO,c51996a3-f36f-483b-bed4-3eb5ebb5161c,43438,1/8/2019,-2,2019,1,1,Jan,2,8
La Plata,8067,Bayfield,8,CO,c51996a3-f36f-483b-bed4-3eb5ebb5161c,43847,1/22/2019,-2,2019,1,1,Jan,4,22
La Plata,8067,Bayfield,8,CO,c51996a3-f36f-483b-bed4-3eb5ebb5161c,44067,1/28/2019,-2,2019,1,1,Jan,5,28
Douglas,8035,Parker,8,CO,99568bc5-d268-486c-91a1-25ef195e2aa4,43700,1/19/2019,0,2019,1,1,Jan,3,19
Douglas,8035,Parker,8,CO,99568bc5-d268-486c-91a1-25ef195e2aa4,43914,1/26/2019,0,2019,1,1,Jan,4,26
Larimer,8069,Fort Collins,8,CO,4a9d3b19-e6a1-4788-9c5c-3ab8732fd50f,44307,2/3/2019,-2,2019,1,2,Feb,5,3
Larimer,8069,Fort Collins,8,CO,4a9d3b19-e6a1-4788-9c5c-3ab8732fd50f,44500,2/10/2019,-2,2019,1,2,Feb,6,10
Larimer,8069,Fort Collins,8,CO,4a9d3b19-e6a1-4788-9c5c-3ab8732fd50f,44776,2/17/2019,-2,2019,1,2,Feb,7,17
Douglas,8035,Highlands Ranch,8,CO,443f7ab4-a2ba-4b32-9ae1-7f09c72a5531,44150,2/2/2019,-1,2019,1,2,Feb,5,2
Douglas,8035,Highlands Ranch,8,CO,443f7ab4-a2ba-4b32-9ae1-7f09c72a5531,44602,2/16/2019,-1,2019,1,2,Feb,7,16
Larimer,8069,Fort Collins,8,CO,d43537ea-fe33-4deb-b6a5-9aedbb2d306d,44113,2/1/2019,-2,2019,1,2,Feb,5,1
Grand,8049,Parshall,8,CO,c83fc76c-86d4-40a2-89d8-45a4c95232c0,44153,2/2/2019,0,2019,1,2,Feb,5,2
Grand,8049,Parshall,8,CO,c83fc76c-86d4-40a2-89d8-45a4c95232c0,44402,2/9/2019,0,2019,1,2,Feb,6,9
Grand,8049,Parshall,8,CO,c83fc76c-86d4-40a2-89d8-45a4c95232c0,44609,2/16/2019,0,2019,1,2,Feb,7,16
Grand,8049,Parshall,8,CO,c83fc76c-86d4-40a2-89d8-45a4c95232c0,44836,2/23/2019,0,2019,1,2,Feb,8,23
Weld,8123,Greeley,8,CO,743652db-2d6f-4d32-a90f-2b81176203ae,44214,2/3/2019,-2,2019,1,2,Feb,5,3
Weld,8123,Greeley,8,CO,743652db-2d6f-4d32-a90f-2b81176203ae,44442,2/10/2019,-1,2019,1,2,Feb,6,10
Weld,8123,Greeley,8,CO,743652db-2d6f-4d32-a90f-2b81176203ae,44634,2/17/2019,-1,2019,1,2,Feb,7,17
Weld,8123,Greeley,8,CO,743652db-2d6f-4d32-a90f-2b81176203ae,44869,2/24/2019,0,2019,1,2,Feb,8,24
Crowley,8025,Ordway,8,CO,d1318b12-3d48-440d-8a25-d82fe3318493,44302,2/4/2019,-2,2019,1,2,Feb,6,4
Crowley,8025,Ordway,8,CO,d1318b12-3d48-440d-8a25-d82fe3318493,44526,2/11/2019,-2,2019,1,2,Feb,7,11
Crowley,8025,Ordway,8,CO,d1318b12-3d48-440d-8a25-d82fe3318493,44735,2/18/2019,-2,2019,1,2,Feb,8,18
Crowley,8025,Ordway,8,CO,d1318b12-3d48-440d-8a25-d82fe3318493,44966,2/25/2019,-2,2019,1,2,Feb,9,25
Larimer,8069,Fort Collins,8,CO,c512a3a7-6713-4785-81b2-daca59977b8d,44166,2/2/2019,-2,2019,1,2,Feb,5,2
Larimer,8069,Fort Collins,8,CO,c512a3a7-6713-4785-81b2-daca59977b8d,44601,2/16/2019,-2,2019,1,2,Feb,7,16
Elbert,8039,Elbert,8,CO,ab40f47f-adb9-41dc-8052-14e3289a61bd,44239,2/3/2019,0,2019,1,2,Feb,5,3
Elbert,8039,Elbert,8,CO,ab40f47f-adb9-41dc-8052-14e3289a61bd,44464,2/10/2019,0,2019,1,2,Feb,6,10
Weld,8123,Kersey,8,CO,7bfade50-5dce-4274-8680-032e402fcc82,44165,2/2/2019,-1,2019,1,2,Feb,5,2
Weld,8123,Kersey,8,CO,7bfade50-5dce-4274-8680-032e402fcc82,44473,2/10/2019,-1,2019,1,2,Feb,6,10
Weld,8123,Kersey,8,CO,7bfade50-5dce-4274-8680-032e402fcc82,44686,2/17/2019,-1,2019,1,2,Feb,7,17
Weld,8123,Kersey,8,CO,7bfade50-5dce-4274-8680-032e402fcc82,44909,2/24/2019,-1,2019,1,2,Feb,8,24
Gunnison,8051,Pitkin,8,CO,401e0943-eceb-420d-bfff-09e96efc042b,44326,2/5/2019,-2,2019,1,2,Feb,6,5
Gunnison,8051,Pitkin,8,CO,401e0943-eceb-420d-bfff-09e96efc042b,44547,2/12/2019,-2,2019,1,2,Feb,7,12
Gunnison,8051,Pitkin,8,CO,401e0943-eceb-420d-bfff-09e96efc042b,44753,2/19/2019,1,2019,1,2,Feb,8,19
Gunnison,8051,Pitkin,8,CO,401e0943-eceb-420d-bfff-09e96efc042b,44961,2/25/2019,0,2019,1,2,Feb,9,25
Larimer,8069,Fort Collins,8,CO,0c7ec328-9ab1-49bf-8d59-0cf289d22f32,44299,2/4/2019,-1,2019,1,2,Feb,6,4
Larimer,8069,Fort Collins,8,CO,0c7ec328-9ab1-49bf-8d59-0cf289d22f32,44561,2/11/2019,-1,2019,1,2,Feb,7,11
Larimer,8069,Fort Collins,8,CO,0c7ec328-9ab1-49bf-8d59-0cf289d22f32,44737,2/18/2019,-1,2019,1,2,Feb,8,18
Larimer,8069,Fort Collins,8,CO,0c7ec328-9ab1-49bf-8d59-0cf289d22f32,44989,2/25/2019,-1,2019,1,2,Feb,9,25
Moffat,8081,Craig,8,CO,69d3d4fe-b1f2-4bca-b207-f0f293ca0217,44305,2/4/2019,-2,2019,1,2,Feb,6,4
Moffat,8081,Craig,8,CO,69d3d4fe-b1f2-4bca-b207-f0f293ca0217,44534,2/11/2019,-2,2019,1,2,Feb,7,11
Moffat,8081,Craig,8,CO,69d3d4fe-b1f2-4bca-b207-f0f293ca0217,44988,2/26/2019,-1,2019,1,2,Feb,9,26
La Plata,8067,Bayfield,8,CO,c51996a3-f36f-483b-bed4-3eb5ebb5161c,44532,2/11/2019,-2,2019,1,2,Feb,7,11
La Plata,8067,Bayfield,8,CO,c51996a3-f36f-483b-bed4-3eb5ebb5161c,44965,2/25/2019,-2,2019,1,2,Feb,9,25
Garfield,8045,Glenwood Springs,8,CO,6536907e-4f06-473a-82ff-8e3a40b390f3,44181,2/2/2019,-1,2019,1,2,Feb,5,2
Douglas,8035,Parker,8,CO,99568bc5-d268-486c-91a1-25ef195e2aa4,44149,2/2/2019,0,2019,1,2,Feb,5,2
Douglas,8035,Parker,8,CO,99568bc5-d268-486c-91a1-25ef195e2aa4,44401,2/9/2019,0,2019,1,2,Feb,6,9
Douglas,8035,Parker,8,CO,99568bc5-d268-486c-91a1-25ef195e2aa4,44727,2/18/2019,0,2019,1,2,Feb,8,18
Douglas,8035,Parker,8,CO,99568bc5-d268-486c-91a1-25ef195e2aa4,44828,2/23/2019,0,2019,1,2,Feb,8,23
Eagle,8037,Carbondale,8,CO,c2c378e5-941c-43a8-83f3-b980036ce894,44537,2/11/2019,2,2019,1,2,Feb,7,11
Eagle,8037,Carbondale,8,CO,c2c378e5-941c-43a8-83f3-b980036ce894,44565,2/14/2019,2,2019,1,2,Feb,7,14
San Miguel,8113,Redvale,8,CO,041daf5f-2bc9-46b4-a06f-d8665bdcd380,45127,3/3/2019,0,2019,1,3,Mar,9,3
San Miguel,8113,Redvale,8,CO,041daf5f-2bc9-46b4-a06f-d8665bdcd380,45964,3/27/2019,1,2019,1,3,Mar,13,27
Larimer,8069,Fort Collins,8,CO,4a9d3b19-e6a1-4788-9c5c-3ab8732fd50f,46047,3/30/2019,0,2019,1,3,Mar,13,30
Mesa,8077,DeBeque,8,CO,753b859d-257d-48c6-b478-e0557a2c4b8d,45944,3/26/2019,1,2019,1,3,Mar,13,26
Douglas,8035,Highlands Ranch,8,CO,443f7ab4-a2ba-4b32-9ae1-7f09c72a5531,45286,3/9/2019,0,2019,1,3,Mar,10,9
