County,county_fips,City,StateCode,State,StationID,ConditionMonitoringReportID,ReportDate,ScaleBar,Description,year,quarter,month,month_name,week,day
Larimer,08069,Fort Collins,8.0,CO,4a9d3b19-e6a1-4788-9c5c-3ab8732fd50f,43361.0,2019-01-06,-2.0,"Little obvious impact as long as winds remain light, but after 3 very warm days grasses are now very dry and vulnerable.  Mountain snow and water supplies continue to be OK but we are dusty dry around our little horse farm",2019.0,1.0,1.0,Jan,1.0,6.0
Larimer,08069,Fort Collins,8.0,CO,4a9d3b19-e6a1-4788-9c5c-3ab8732fd50f,43569.0,2019-01-13,-1.0,Tue unusual gently soaking rain on Friday really helped settle the dust and even soaked in a bit as ground had briefly thawed.  Still dry but this helps a bit. Mountain snowpack and water supplies still good as well as winter recreation,2019.0,1.0,1.0,Jan,2.0,13.0
Larimer,08069,Fort Collins,8.0,CO,4a9d3b19-e6a1-4788-9c5c-3ab8732fd50f,44002.0,2019-01-27,-1.0,"Light snow this week didn't appreciably change anything but has kept the surface a bit moist  Seasonally cool temperatures this past week, too.",2019.0,1.0,1.0,Jan,4.0,27.0
Larimer,08069,Fort Collins,8.0,CO,aa6475c2-8a4b-4c4b-877c-c35733eb7b9b,43457.0,2019-01-10,-2.0,No significant moisture/snow since 11/11/18 and before that 10/14/18.,2019.0,1.0,1.0,Jan,2.0,10.0
Douglas,08035,Highlands Ranch,8.0,CO,443f7ab4-a2ba-4b32-9ae1-7f09c72a5531,43277.0,2019-01-05,-2.0,"Snowfall has been light.  2019 started very cold, but now temperatures are above normal.  Continued hand watering necessary.",2019.0,1.0,1.0,Jan,1.0,5.0
Douglas,08035,Highlands Ranch,8.0,CO,443f7ab4-a2ba-4b32-9ae1-7f09c72a5531,43707.0,2019-01-19,0.0,8 inches of snow from 1/12 storm still melting when snow fell 1/18.  Ground and streets currently covered.,2019.0,1.0,1.0,Jan,3.0,19.0
Douglas,08035,Highlands Ranch,8.0,CO,443f7ab4-a2ba-4b32-9ae1-7f09c72a5531,43977.0,2019-01-27,-1.0,We are in a cycle of snow and thaw.  When ground is bare we are watering perennials.,2019.0,1.0,1.0,Jan,4.0,27.0
Grand,08049,Parshall,8.0,CO,c83fc76c-86d4-40a2-89d8-45a4c95232c0,43301.0,2019-01-05,-2.0,"I have dropped us back into the moderately dry category.  A quick look at my  precipitation records for the past ten Decembers shows that this December was the third driest since I began recording (2009). The three driest Decembers in my records have been 0.16"" in 2011, 0.51"" in 2009, and 0.54"" in 2018.  The 0.54"" for this past December is less than half of what we had on the three wettest years.  This past month we had quite a few days of precipitation, but nearly all of the storms left only a little bit of snow.",2019.0,1.0,1.0,Jan,1.0,5.0
Grand,08049,Parshall,8.0,CO,c83fc76c-86d4-40a2-89d8-45a4c95232c0,43507.0,2019-01-12,-2.0,We lost some of the snowpack in this area due to warm temperatures this past week but gained about an inch of it back yesterday so I think we are not too far from where we were a week ago. Overall I think that this part of Grand County is pretty dry even though it looks snowy at the moment.,2019.0,1.0,1.0,Jan,2.0,12.0
Grand,08049,Parshall,8.0,CO,c83fc76c-86d4-40a2-89d8-45a4c95232c0,43708.0,2019-01-19,0.0,"We got nearly 5.0"" of snow (0.33"" of precipitation) in the past 3 days.  I will put us at near normal for this week.  In the long term I think we are still mildly to moderately dry.",2019.0,1.0,1.0,Jan,3.0,19.0
Grand,08049,Parshall,8.0,CO,c83fc76c-86d4-40a2-89d8-45a4c95232c0,43915.0,2019-01-26,0.0,"We've had good snowfall this week.  Wind has drifted some of the snow into snowbanks that will hold the moisture until spring unless we have an early warm-up.  I think that in the long term we are still below average precipitation but the last two weeks have definitely helped lessen the drought. For the present, the snowpack here is looking pretty good.",2019.0,1.0,1.0,Jan,4.0,26.0
Weld,08123,Greeley,8.0,CO,743652db-2d6f-4d32-a90f-2b81176203ae,43346.0,2019-01-06,-3.0,sunny and warmer than normal.,2019.0,1.0,1.0,Jan,1.0,6.0
Weld,08123,Greeley,8.0,CO,743652db-2d6f-4d32-a90f-2b81176203ae,43559.0,2019-01-13,-3.0,Little moisture yesterday did not change conditions.,2019.0,1.0,1.0,Jan,2.0,13.0
Weld,08123,Greeley,8.0,CO,743652db-2d6f-4d32-a90f-2b81176203ae,43750.0,2019-01-20,-3.0,No measurable precipitation this week.,2019.0,1.0,1.0,Jan,3.0,20.0
Weld,08123,Greeley,8.0,CO,743652db-2d6f-4d32-a90f-2b81176203ae,43966.0,2019-01-27,-2.0,"Although we got some snow this past week, I believe we're closer to severely dry than mildly dry.",2019.0,1.0,1.0,Jan,4.0,27.0
Crowley,08025,Ordway,8.0,CO,d1318b12-3d48-440d-8a25-d82fe3318493,43424.0,2019-01-07,-2.0,"Wind 14mph WSW, yesterday into the night.  More expected today. Anxiety for fire potential building. It's a chore keeping tumbleweeds away from corrals and buildings. Sparrows and a pair of ravens follow behind to eat the weed seeds. Triticale fields have been scoured off by recent winds.",2019.0,1.0,1.0,Jan,2.0,7.0
Crowley,08025,Ordway,8.0,CO,d1318b12-3d48-440d-8a25-d82fe3318493,43626.0,2019-01-14,-2.0,"Enjoying the moisture.  What little we got will be gone with the promised winds Thurs-Sat.  Every time weeds are thrown out of the fences, multiple birds gather for the seeds and rodents. Not much forage for them otherwise. The dust is knocked out of the air temporarily - grateful for that.",2019.0,1.0,1.0,Jan,3.0,14.0
Crowley,08025,Ordway,8.0,CO,d1318b12-3d48-440d-8a25-d82fe3318493,43846.0,2019-01-22,-2.0,"Lots of wind yesterday and last night. Weeds tore down more fence and filled the yard. Blowing snow - guessing around 1 1/2"" with just .03"" moisture. Coyotes are a concern with entering people's yards and calling out dogs. Even though we had rain last week, the dirt got to blowing pretty good yesterday.",2019.0,1.0,1.0,Jan,4.0,22.0
Crowley,08025,Ordway,8.0,CO,d1318b12-3d48-440d-8a25-d82fe3318493,44060.0,2019-01-28,-1.0,Getting moisture 1/100 at a time. Snowing this morning. Will have to address the tumbleweed situation before long.  Every fence and ditch is packed. Too breezy/windy to burn safely. Coyotes remain a concern as numbers appear to be high.Barn owl hanging around looking for food.,2019.0,1.0,1.0,Jan,5.0,28.0
Larimer,08069,Fort Collins,8.0,CO,c512a3a7-6713-4785-81b2-daca59977b8d,43446.0,2019-01-09,-2.0,"Dry and continued dryness, hardly any snow for December, makes several months in a row with little moisture.  I wouldn't be surprised to see a foothills fire break out with these conditions.",2019.0,1.0,1.0,Jan,2.0,9.0
Elbert,08039,Elbert,8.0,CO,ab40f47f-adb9-41dc-8052-14e3289a61bd,43364.0,2019-01-06,-2.0,"Small snow storms Have left only a few inches of accumulation which has melted/evaporated soon after the storms, leaving the ground nearly as dry as before.",2019.0,1.0,1.0,Jan,1.0,6.0
Elbert,08039,Elbert,8.0,CO,ab40f47f-adb9-41dc-8052-14e3289a61bd,43769.0,2019-01-20,-1.0,"Finally enough snow has fallen and not yet melted to leave the ground nearly covered by several inches. Where melted in thinner places, the ground is muddy a couple of inches deep.",2019.0,1.0,1.0,Jan,3.0,20.0
Weld,08123,Kersey,8.0,CO,7bfade50-5dce-4274-8680-032e402fcc82,43288.0,2019-01-05,-1.0,Minimal snowfall before New Year's insufficient to take us back to normal.  ,2019.0,1.0,1.0,Jan,1.0,5.0
Weld,08123,Kersey,8.0,CO,7bfade50-5dce-4274-8680-032e402fcc82,43508.0,2019-01-12,0.0,Are we finally coming into a wetter pattern? ,2019.0,1.0,1.0,Jan,2.0,12.0
