State,ScaleBar,text,year,month
AK,-1.0,AK: -1.0,2018,1
AL,0.3333333333333333,AL: 0.3,2018,1
AR,-0.5,AR: -0.5,2018,1
AZ,-1.6764705882352942,AZ: -1.7,2018,1
CA,-0.9090909090909091,CA: -0.9,2018,1
CAN,-0.55,CAN: -0.6,2018,1
CO,-1.962962962962963,CO: -2.0,2018,1
CT,0.125,CT: 0.1,2018,1
DE,-0.3333333333333333,DE: -0.3,2018,1
FL,-1.3026315789473684,FL: -1.3,2018,1
GA,-0.5,GA: -0.5,2018,1
IA,-0.25,IA: -0.2,2018,1
ID,-0.875,ID: -0.9,2018,1
IL,-0.47368421052631576,IL: -0.5,2018,1
IN,0.17647058823529413,IN: 0.2,2018,1
KS,-1.935483870967742,KS: -1.9,2018,1
KY,-0.2,KY: -0.2,2018,1
LA,-0.2,LA: -0.2,2018,1
MA,-0.1111111111111111,MA: -0.1,2018,1
MD,-1.25,MD: -1.2,2018,1
ME,0.09090909090909091,ME: 0.1,2018,1
MI,0.0,MI: 0.0,2018,1
MN,-1.3333333333333333,MN: -1.3,2018,1
MO,-1.2222222222222223,MO: -1.2,2018,1
MS,1.4,MS: 1.4,2018,1
MT,1.0,MT: 1.0,2018,1
NC,-0.3939393939393939,NC: -0.4,2018,1
ND,-0.6,ND: -0.6,2018,1
NE,-1.6666666666666667,NE: -1.7,2018,1
NH,0.75,NH: 0.8,2018,1
NJ,-0.8571428571428571,NJ: -0.9,2018,1
NM,-2.159090909090909,NM: -2.2,2018,1
NV,3.0,NV: 3.0,2018,1
NY,0.4,NY: 0.4,2018,1
OH,0.5555555555555556,OH: 0.6,2018,1
OK,-1.5,OK: -1.5,2018,1
OR,-0.05128205128205128,OR: -0.1,2018,1
PA,0.5833333333333334,PA: 0.6,2018,1
RI,2.0,RI: 2.0,2018,1
SC,-0.2,SC: -0.2,2018,1
SD,-1.5,SD: -1.5,2018,1
TN,0.8,TN: 0.8,2018,1
TX,-0.9625,TX: -1.0,2018,1
UT,-0.5,UT: -0.5,2018,1
VA,-0.8888888888888888,VA: -0.9,2018,1
VT,0.0,VT: 0.0,2018,1
WA,1.03125,WA: 1.0,2018,1
WI,-0.5833333333333334,WI: -0.6,2018,1
WV,1.0,WV: 1.0,2018,1
WY,0.1111111111111111,WY: 0.1,2018,1
AL,1.3333333333333333,AL: 1.3,2018,2
AR,-1.1111111111111112,AR: -1.1,2018,2
AZ,-1.896551724137931,AZ: -1.9,2018,2
BHS,-3.0,BHS: -3.0,2018,2
CA,-1.1944444444444444,CA: -1.2,2018,2
CAN,0.0425531914893617,CAN: 0.0,2018,2
CO,-1.4848484848484849,CO: -1.5,2018,2
CT,1.0666666666666667,CT: 1.1,2018,2
DE,0.8,DE: 0.8,2018,2
FL,-0.9166666666666666,FL: -0.9,2018,2
GA,-0.047619047619047616,GA: -0.0,2018,2
IA,-0.3333333333333333,IA: -0.3,2018,2
ID,-0.14285714285714285,ID: -0.1,2018,2
IL,0.12,IL: 0.1,2018,2
IN,1.1923076923076923,IN: 1.2,2018,2
KS,-1.5833333333333333,KS: -1.6,2018,2
KY,1.8461538461538463,KY: 1.8,2018,2
LA,0.6,LA: 0.6,2018,2
MA,0.6428571428571429,MA: 0.6,2018,2
MD,0.5555555555555556,MD: 0.6,2018,2
ME,0.3888888888888889,ME: 0.4,2018,2
MI,1.0434782608695652,MI: 1.0,2018,2
MN,-0.7307692307692307,MN: -0.7,2018,2
MO,-0.5714285714285714,MO: -0.6,2018,2
MS,2.4347826086956523,MS: 2.4,2018,2
MT,1.1538461538461537,MT: 1.2,2018,2
NC,0.4051724137931034,NC: 0.4,2018,2
ND,-1.2,ND: -1.2,2018,2
NE,-1.0,NE: -1.0,2018,2
NH,0.6666666666666666,NH: 0.7,2018,2
NJ,0.9166666666666666,NJ: 0.9,2018,2
NM,-2.0538461538461537,NM: -2.1,2018,2
NV,-0.6666666666666666,NV: -0.7,2018,2
NY,0.875,NY: 0.9,2018,2
OH,1.2058823529411764,OH: 1.2,2018,2
OK,-0.9583333333333334,OK: -1.0,2018,2
OR,-0.6944444444444444,OR: -0.7,2018,2
PA,1.375,PA: 1.4,2018,2
RI,2.0,RI: 2.0,2018,2
SC,0.3111111111111111,SC: 0.3,2018,2
SD,-1.2222222222222223,SD: -1.2,2018,2
