County,county_fips,City,StateCode,State,StationID,ConditionMonitoringReportID,ReportDate,ScaleBar,year,quarter,month,month_name,week,day
Adams,8001,Thornton,8,CO,98e4e56a-b927-4c32-94dc-cec3b8a4f684,28244,1/8/2018,-2,2018,1,1,Jan,2,8
Adams,8001,Thornton,8,CO,98e4e56a-b927-4c32-94dc-cec3b8a4f684,28407,1/14/2018,-2,2018,1,1,Jan,2,14
Adams,8001,Thornton,8,CO,98e4e56a-b927-4c32-94dc-cec3b8a4f684,28672,1/22/2018,-2,2018,1,1,Jan,4,22
Adams,8001,Thornton,8,CO,98e4e56a-b927-4c32-94dc-cec3b8a4f684,29027,1/29/2018,-1,2018,1,1,Jan,5,29
Washington,8121,Akron,8,CO,8750164b-9ca1-4e08-a2bd-1693205e3ba8,28738,1/26/2018,-2,2018,1,1,Jan,4,26
Washington,8121,cope,8,CO,faa0447d-0379-46df-8cdd-60a7841a0201,28498,1/19/2018,-2,2018,1,1,Jan,3,19
Washington,8121,cope,8,CO,faa0447d-0379-46df-8cdd-60a7841a0201,28740,1/26/2018,-2,2018,1,1,Jan,4,26
Larimer,8069,Estes Park,8,CO,11876e6e-2bd1-4cff-be9f-37f2efad9987,28329,1/13/2018,-2,2018,1,1,Jan,2,13
Archuleta,8007,Pagosa Springs,8,CO,ab75555b-5652-4c15-8030-9890f429aea4,28472,1/16/2018,-3,2018,1,1,Jan,3,16
Larimer,8069,Fort Collins,8,CO,4a9d3b19-e6a1-4788-9c5c-3ab8732fd50f,28235,1/8/2018,-1,2018,1,1,Jan,2,8
Larimer,8069,Fort Collins,8,CO,4a9d3b19-e6a1-4788-9c5c-3ab8732fd50f,28318,1/13/2018,-2,2018,1,1,Jan,2,13
Larimer,8069,Fort Collins,8,CO,4a9d3b19-e6a1-4788-9c5c-3ab8732fd50f,28554,1/20/2018,-1,2018,1,1,Jan,3,20
Larimer,8069,Fort Collins,8,CO,4a9d3b19-e6a1-4788-9c5c-3ab8732fd50f,28848,1/27/2018,-1,2018,1,1,Jan,4,27
Pueblo,8101,Pueblo West,8,CO,7471e7f4-151b-4187-8376-af71c0de3252,28879,1/28/2018,-2,2018,1,1,Jan,4,28
Boulder,8013,Boulder,8,CO,728c5b0c-fa99-4af4-be23-53cf3d1da209,29076,1/29/2018,-1,2018,1,1,Jan,5,29
Mesa,8077,DeBeque,8,CO,753b859d-257d-48c6-b478-e0557a2c4b8d,28030,1/3/2018,-2,2018,1,1,Jan,1,3
Pueblo,8101,Rye,8,CO,64ea6bd3-90a8-4766-9873-2236e4d58218,28193,1/7/2018,-2,2018,1,1,Jan,1,7
Pueblo,8101,Rye,8,CO,64ea6bd3-90a8-4766-9873-2236e4d58218,28478,1/16/2018,-2,2018,1,1,Jan,3,16
Pueblo,8101,Rye,8,CO,64ea6bd3-90a8-4766-9873-2236e4d58218,28708,1/24/2018,-1,2018,1,1,Jan,4,24
Douglas,8035,castle rock,8,CO,9cf18c5b-5989-484d-b2b1-e19d92a38dd6,28115,1/6/2018,-2,2018,1,1,Jan,1,6
Jefferson,8059,Conifer,8,CO,cde1672d-aca2-4110-bb71-77904aa2a15f,28699,1/23/2018,2,2018,1,1,Jan,4,23
Elbert,8039,Parker,8,CO,c0fa5f20-c0a2-4477-b8db-e8004ccc2538,28744,1/26/2018,-3,2018,1,1,Jan,4,26
